fill	y	x	key	showSelectedlegendfill	showSelected1	showSelected2	PANEL
#FFFFFF	0	-1.11352325015284	infinite	correct	infinite	-0.22	1
#FFFFFF	0	-1.10580581177453	finite	correct	finite	0.0600000000000001	1
#FFFFFF	0	-1.07352325015284	infinite	correct	infinite	-0.18	1
#000000	1	-1.06580581177453	finite	error	finite	0.1	1
#000000	1	-1.03352325015284	infinite	error	infinite	-0.14	1
#000000	1	-1.02580581177453	finite	error	finite	0.14	1
#000000	1	-0.99352325015284	infinite	error	infinite	-0.1	1
#FFFFFF	0	-0.99352325015284	infinite	correct	infinite	-0.1	1
#FFFFFF	0	-0.985805811774526	finite	correct	finite	0.18	1
#FFFFFF	0	-0.95352325015284	infinite	correct	infinite	-0.0600000000000001	1
#FFFFFF	0	-0.945805811774527	finite	correct	finite	0.22	1
#FFFFFF	0	-0.91352325015284	infinite	correct	infinite	-0.02	1
#FFFFFF	0	-0.905805811774527	finite	correct	finite	0.26	1
#FFFFFF	0	-0.87352325015284	infinite	correct	infinite	0.02	1
#FFFFFF	0	-0.865805811774527	finite	correct	finite	0.3	1
#FFFFFF	0	-0.83352325015284	infinite	correct	infinite	0.0600000000000001	1
#FFFFFF	0	-0.825805811774526	finite	correct	finite	0.34	1
#FFFFFF	0	-0.79352325015284	infinite	correct	infinite	0.1	1
#FFFFFF	0	-0.785805811774526	finite	correct	finite	0.38	1
#FFFFFF	0	-0.75352325015284	infinite	correct	infinite	0.14	1
#FFFFFF	0	-0.745805811774526	finite	correct	finite	0.42	1
#FFFFFF	0	-0.71352325015284	infinite	correct	infinite	0.18	1
#FFFFFF	0	-0.705805811774526	finite	correct	finite	0.46	1
#FFFFFF	0	-0.67352325015284	infinite	correct	infinite	0.22	1
#FFFFFF	0	-0.665805811774526	finite	correct	finite	0.5	1
#FFFFFF	0	-0.63352325015284	infinite	correct	infinite	0.26	1
#FFFFFF	0	-0.625805811774526	finite	correct	finite	0.54	1
#FFFFFF	0	-0.59352325015284	infinite	correct	infinite	0.3	1
#FFFFFF	0	-0.585805811774526	finite	correct	finite	0.58	1
#FFFFFF	0	-0.55352325015284	infinite	correct	infinite	0.34	1
#FFFFFF	0	-0.545805811774526	finite	correct	finite	0.62	1
#FFFFFF	0	-0.51352325015284	infinite	correct	infinite	0.38	1
#FFFFFF	0	-0.505805811774526	finite	correct	finite	0.66	1
#FFFFFF	0	-0.47352325015284	infinite	correct	infinite	0.42	1
#FFFFFF	0	-0.465805811774526	finite	correct	finite	0.7	1
#FFFFFF	0	-0.43352325015284	infinite	correct	infinite	0.46	1
#FFFFFF	0	-0.425805811774526	finite	correct	finite	0.74	1
#FFFFFF	0	-0.39352325015284	infinite	correct	infinite	0.5	1
#FFFFFF	0	-0.385805811774526	finite	correct	finite	0.78	1
#FFFFFF	0	-0.35352325015284	infinite	correct	infinite	0.54	1
#FFFFFF	0	-0.345805811774526	finite	correct	finite	0.82	1
#FFFFFF	0	-0.31352325015284	infinite	correct	infinite	0.58	1
#FFFFFF	0	-0.305805811774526	finite	correct	finite	0.86	1
#FFFFFF	0	-0.27352325015284	infinite	correct	infinite	0.62	1
#FFFFFF	0	-0.265805811774526	finite	correct	finite	0.9	1
#FFFFFF	0	-0.23352325015284	infinite	correct	infinite	0.66	1
#FFFFFF	0	-0.225805811774526	finite	correct	finite	0.94	1
#FFFFFF	0	-0.19352325015284	infinite	correct	infinite	0.7	1
#FFFFFF	0	-0.185805811774526	finite	correct	finite	0.98	1
#FFFFFF	0	-0.15352325015284	infinite	correct	infinite	0.74	1
#FFFFFF	0	-0.145805811774526	finite	correct	finite	1.02	1
#FFFFFF	0	-0.11352325015284	infinite	correct	infinite	0.78	1
#FFFFFF	0	-0.105805811774526	finite	correct	finite	1.06	1
#FFFFFF	0	-0.07352325015284	infinite	correct	infinite	0.82	1
#FFFFFF	0	-0.0658058117745262	finite	correct	finite	1.1	1
#FFFFFF	0	-0.03352325015284	infinite	correct	infinite	0.86	1
#FFFFFF	0	-0.0258058117745261	finite	correct	finite	1.14	1
#FFFFFF	0	0.00647674984716007	infinite	correct	infinite	0.9	1
